Name,AnnualRevenue,SquareFeet,NumberEmployees
Wholesale Bikes,100000.00,27000,27
Wholesale Parts,300000.00,70000,64
Widget Bicycle Specialists,150000.00,38000,48
Wingtip Toys,80000.00,20000,15
Wire Baskets and Parts,80000.00,19000,19
Wonderful Bikes Inc.,150000.00,37000,34
Work and Play Association,80000.00,22000,12
Workout Emporium,150000.00,39000,36
World Bike Discount Store,150000.00,39000,38
World of Bikes,80000.00,19000,17
Worthwhile Activity Store,30000.00,8000,7
Year-Round Sports,300000.00,75000,66
Yellow Bicycle Company,100000.00,26000,29
